variable,importancia,signo
cat_Computers&Accessories,0.693310128992311,Aumenta
rating_count,0.6791791107329374,Aumenta
cat_OfficeProducts,0.6380250018300686,Aumenta
actual_price,0.5597369562700255,Aumenta
discount_percentage,0.33804049043680956,Reduce
cat_HomeImprovement,0.24093545774873412,Aumenta
cat_Electronics,0.17240051142142757,Aumenta
cat_Health&PersonalCare,0.16619445109673814,Aumenta
cat_Home&Kitchen,0.16017319416077555,Aumenta
cat_MusicalInstruments,0.14066001864046865,Aumenta
discounted_price,0.09551100728972821,Aumenta
cat_Toys&Games,0.0,Reduce
