id,product_name,categoria_principal,rango_descuento,discounted_price,actual_price,discount_percentage,rating,rating_count,buen_rating,probabilidad_buen_rating,nivel_riesgo
P0181,"Storite USB 3.0 Cable A to Micro B high Speed Upto 5 Gbps Data Transfer Cable for Portable External Hard Drive - (20cm), Black",Computers&Accessories,Medio,299.0,699.0,57.0,4.1,2957.0,1,0.8084740506938823,Medio
P0557,"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Green )",Electronics,Alto,1499.0,7999.0,81.0,4.2,22638.0,1,0.6445619477364304,Alto
P0251,7SEVEN® Compatible Vu Smart Tv Remote Control Suitable for Original 4K Android LED Ultra HD UHD Vu Tv Remote with Non Voice Feature without google assistant,Electronics,Medio,499.0,899.0,44.0,3.7,185.0,0,0.6173743611797975,Alto
P1389,"Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag, Size 36 x 36 x 58, Capicity 30 Ltr (Pink)",Home&Kitchen,Medio,199.0,399.0,50.0,3.7,7945.0,0,0.613746254970538,Alto
P0213,"Amazon Basics USB C to Lightning TPE MFi Certified Charging Cable (White, 1.2 meter)",Computers&Accessories,Medio,799.0,1999.0,60.0,4.2,8583.0,1,0.8245955232141573,Medio
P0136,"pTron Solero 331 3.4Amps Multifunction Fast Charging Cable, 3-in-1 USB Cable Micro USB/Type-C/iOS, Made in India, Durable & Strong & Tangle-free 118cm in Length (Black)",Computers&Accessories,Alto,249.0,931.0,73.0,3.9,1075.0,0,0.7633108938291965,Medio
P0798,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments,Medio,478.0,699.0,32.0,3.8,20218.0,0,0.9939471021732761,Bajo
P1173,Havells Ambrose 1200mm Ceiling Fan (Gold Mist Wood),Home&Kitchen,Medio,2199.0,3190.0,31.0,4.3,9650.0,1,0.7211529570177546,Medio
P0381,"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",Electronics,Bajo,12999.0,15999.0,19.0,4.2,13246.0,1,0.8776296827959318,Bajo
P0633,"Tygot Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones",Electronics,Alto,399.0,1999.0,80.0,4.0,3382.0,1,0.5032579118454475,Alto
P0245,Boat A 350 Type C Cable 1.5m(Jet Black),Computers&Accessories,Alto,299.0,798.0,63.0,4.4,28791.0,1,0.8506280816712396,Bajo
P1228,"Lifelong 2-in1 Egg Boiler and Poacher 500-Watt (Transparent and Silver Grey), Boil 8 eggs, Poach 4 eggs, Easy to clean| 3 Boiling Modes, Stainless Steel Body and Heating Plate, Automatic Turn-Off",Home&Kitchen,Alto,1199.0,3500.0,66.0,4.3,1802.0,1,0.5704907119343607,Alto
P1421,KENT POWP-Sediment Filter 10'' Thread WCAP,Home&Kitchen,Bajo,231.0,260.0,11.0,4.1,490.0,1,0.7226607998016046,Medio
P0277,Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable  – 1 Meter,Computers&Accessories,Medio,119.0,299.0,60.0,3.8,51.0,0,0.7903905805038759,Medio
P1413,"Aqua d pure Active Copper 12-L RO+UV Water Filter Purifier for Home, Kitchen Fully Automatic UF+TDS Controller",Home&Kitchen,Alto,4999.0,24999.0,80.0,4.5,287.0,1,0.7581924305847882,Medio
P0877,"Sony WI-C100 Wireless Headphones with Customizable Equalizer for Deep Bass & 25 Hrs Battery, DSEE-Upscale, Splash Proof, 360RA, Fast Pair, in-Ear Bluetooth Headset with mic for Phone Calls (Black)",Electronics,Medio,1599.0,2790.0,43.0,3.6,2272.0,0,0.6530467720402775,Medio
P0666,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Bajo,229.0,299.0,23.0,4.3,30411.0,1,0.9143180105873869,Bajo
P1227,"Havells Instanio 1-Litre 3KW Instant Water Heater (Geyser), White Blue",Home&Kitchen,Medio,2599.0,4560.0,43.0,4.4,646.0,1,0.6677950399434462,Medio
P0623,"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)",Computers&Accessories,Bajo,4098.0,4999.0,18.0,4.5,50810.0,1,0.9540747376613113,Bajo
P1034,PRO365 Indo Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),Home&Kitchen,Medio,249.0,499.0,50.0,3.3,8427.0,0,0.6167768091784371,Alto
P1119,"C (DEVICE) Lint Remover for Woolen Clothes, Electric Lint Remover, Best Lint Shaver for Clothes Pack of 1",Home&Kitchen,Alto,469.0,1599.0,71.0,3.7,6.0,0,0.5188988750860556,Alto
P1127,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,Home&Kitchen,Bajo,1130.0,1130.0,0.0,4.2,13250.0,1,0.7985171304184739,Medio
P0461,"PTron Newly Launched Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Color Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Pink)",Electronics,Alto,1299.0,5999.0,78.0,3.3,4415.0,0,0.5664928160063258,Alto
P1371,"KNYUC MART Mini Electric Handy Room Heater Compact Plug-in, The Wall Outlet 400 Watts, Handy Air Warmer Blower Adjustable Timer Digital Display",Home&Kitchen,Bajo,778.0,999.0,22.0,3.3,8.0,0,0.6944026206335263,Medio
P1006,"Canon E4570 All-in-One Wi-Fi Ink Efficient Colour Printer with FAX/ADF/Duplex Printing (Black)- Smart Speaker Compatible, Standard",Computers&Accessories,Bajo,8349.0,9625.0,13.0,3.8,3652.0,0,0.9360917766318767,Bajo
P1199,"Oratech Coffee Frother electric, milk frother electric, coffee beater, cappuccino maker, Coffee Foamer, Mocktail Mixer, Coffee Foam Maker, coffee whisker electric, Froth Maker, coffee stirrers electric, coffee frothers, Coffee Blender, (6 Month Warranty) (Multicolour)",Home&Kitchen,Medio,279.0,499.0,44.0,4.8,28.0,1,0.6092555422478002,Alto
P1459,"Bajaj Majesty RX10 2000 Watts Heat Convector Room Heater (White, ISI Approved)",Home&Kitchen,Bajo,2219.0,3080.0,28.0,3.6,468.0,0,0.7014074146895948,Medio
P0273,VW 80 cm (32 inches) HD Ready Android Smart LED TV VW32PRO (Black),Electronics,Medio,8999.0,18999.0,53.0,4.0,6347.0,1,0.8063435239130595,Medio
P0638,"DIGITEK® (DTR 260 GT) Gorilla Tripod/Mini 33 cm (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote, Flexible Gorilla Stand for DSLR & Action Cameras",Electronics,Medio,399.0,995.0,60.0,3.9,21372.0,0,0.6339464717264529,Alto
P1113,"Kuber Industries Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capicity|Size 37 x 37 x 49, Pack of 1 (Beige & Brown)-KUBMART11450",Home&Kitchen,Bajo,177.0,199.0,11.0,4.1,3688.0,1,0.7314814634145489,Medio
P0959,SLOVIC® Tripod Mount Adapter| Tripod Mobile Holder|Tripod Phone Mount(Made in India)| Smartphone Clip Clipper 360 Degree for Taking Magic Video Shots & Pictures.,Electronics,Medio,326.0,799.0,59.0,4.4,10773.0,1,0.5974389015552236,Alto
P0291,Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black),Electronics,Medio,32990.0,54990.0,40.0,4.1,1555.0,1,0.9742463146312851,Bajo
P0650,"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas, Wood, Leather, Earthenware, Metal, Diwali Gifts for Diwali",Home&Kitchen,Bajo,191.0,225.0,15.0,4.4,7203.0,1,0.7298037480362835,Medio
P0060,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Electronics,Alto,179.0,799.0,78.0,3.7,2201.0,0,0.49127447843200595,Alto
P0526,OpenTech® Military-Grade Tempered Glass Screen Protector Compatible for iPhone 13/13 Pro / 14 with Edge to Edge Coverage and Easy Installation kit (6.1 Inches),Electronics,Alto,299.0,999.0,70.0,4.3,8891.0,1,0.5505640523765829,Alto
P0630,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,Alto,154.0,399.0,61.0,4.2,16905.0,1,0.8278734070724343,Medio
P0425,"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Electronics,Bajo,12999.0,17999.0,28.0,4.1,50772.0,1,0.9235421331115163,Bajo
P1219,Philips Viva Collection HR1832/00 1.5-Litre400-Watt Juicer (Ink Black),Home&Kitchen,Bajo,6499.0,8995.0,28.0,4.3,2810.0,1,0.7746190078925224,Medio
P0560,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",Computers&Accessories,Alto,219.0,700.0,69.0,4.3,20052.0,1,0.8187343367777192,Medio
P0005,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,Alto,149.0,1000.0,85.0,3.9,24871.0,0,0.7929063228080598,Medio
P0697,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,Bajo,349.0,399.0,13.0,4.4,18757.0,1,0.9133935072854271,Bajo
P0025,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,Alto,199.0,699.0,72.0,4.2,12153.0,1,0.5509774663506977,Alto
P1056,"AGARO LR2007 Lint Remover, Rechargeable, for Woolen Sweaters, Blankets, Jackets, Burr Remover, Pill Remover From Carpets, Curtains",Home&Kitchen,Medio,678.0,1499.0,55.0,4.2,900.0,1,0.5838258486161734,Alto
P1434,"Karcher WD3 EU Wet and Dry Vacuum Cleaner, 1000 Watts Powerful Suction, 17 L Capacity, Blower Function, Easy Filter Removal for Home and Garden Cleaning  (Yellow/Black)",Home&Kitchen,Medio,6199.0,10999.0,44.0,4.2,10429.0,1,0.7670771607664316,Medio
P0332,"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution",Electronics,Alto,1799.0,19999.0,91.0,4.2,13937.0,1,0.7105992214951241,Medio
P0318,"PRUSHTI COVER AND BAGS, Protective Case for Airtel Xstream settop Box Remote Remote Control Pouch Cover Holder PU Leather Cover Holder(only Cover for Selling Purpose)",Electronics,Medio,199.0,499.0,60.0,3.8,538.0,0,0.5519773015745755,Alto
P0765,"Tarkan Portable Folding Laptop Desk for Bed, Lapdesk with Handle, Drawer, Cup & Mobile/Tablet Holder for Study, Eating, Work (Black)",Computers&Accessories,Medio,999.0,2499.0,60.0,4.3,1690.0,1,0.8132263025040668,Medio
P0661,"TP-Link Archer AC1200 Archer C6 Wi-Fi Speed Up to 867 Mbps/5 GHz + 400 Mbps/2.4 GHz, 5 Gigabit Ports, 4 External Antennas, MU-MIMO, Dual Band, WiFi Coverage with Access Point Mode, Black",Computers&Accessories,Medio,2499.0,4999.0,50.0,4.4,35024.0,1,0.9065384730539545,Bajo
P0864,"Lenovo 600 Bluetooth 5.0 Silent Mouse: Compact, Portable, Dongle-Free Multi-Device connectivity with Microsoft Swift Pair | 3-Level Adjustable DPI up to 2400 | Battery Life: up to 1 yr",Computers&Accessories,Medio,1439.0,2890.0,50.0,4.5,4099.0,1,0.8441568186819228,Medio
P1041,KENT 16052 Elegant Electric Glass Kettle 1.8L 2000 W | Blue LED Illumination | Borosilicate Glass Body | Boil Drying Protection | Used as Boiler | Milk | Tea | Water & Soup | 1 Year Warranty,Home&Kitchen,Medio,1199.0,2000.0,40.0,4.0,14030.0,1,0.6906861013891366,Medio
P0982,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen,Bajo,230.0,230.0,0.0,4.5,9427.0,1,0.7796652676352003,Medio
P0781,"E-COSMOS Plug in LED Night Light Mini USB LED Light Flexible USB LED Ambient Light Mini USB LED Light, LED Portable car Bulb, Indoor, Outdoor, Reading, Sleep (4 pcs)",Computers&Accessories,Bajo,89.0,99.0,10.0,4.2,241.0,1,0.8914993736434208,Bajo
P1373,"Macmillan Aquafresh 5 Micron PS-05 10"" in PP Spun Filter Candle Set for All Type RO Water Purifier 10 inch (4)",Home&Kitchen,Alto,215.0,1499.0,86.0,3.9,1004.0,0,0.46172351456578364,Alto
P0821,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,Alto,389.0,1099.0,65.0,4.3,974.0,1,0.7867147986709968,Medio
P0350,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),Electronics,Alto,349.0,999.0,65.0,4.1,363713.0,1,0.9964018758630705,Bajo
P1028,Bajaj RHX-2 800-Watt Room Heater (White),Home&Kitchen,Bajo,1399.0,1549.0,10.0,3.9,2602.0,0,0.7471621961305086,Medio
P0114,Cotbolt Silicone Protective Case Cover for LG an MR21GA Magic Remote Shockproof for LG Smart TV Remote 2021 Protective Skin Waterproof Anti Lost (Black) (Remote Not Included),Electronics,Alto,399.0,1999.0,80.0,4.5,505.0,1,0.49243089147027796,Alto
P0066,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Computers&Accessories,Alto,263.0,699.0,62.0,4.1,450.0,1,0.7897296746209711,Medio
P0203,Cotbolt Silicone Case Cover Compatible for Samsung BN59-01312A QLED 8K 4K Smart TV Remote Shockproof Protective Remote Cover (Black),Electronics,Alto,349.0,999.0,65.0,4.0,839.0,1,0.5401645125236849,Alto
P0759,"Luxor 5 Subject Single Ruled Notebook - A4, 70 GSM, 300 pages",OfficeProducts,Bajo,252.0,315.0,20.0,4.5,3785.0,1,0.9947555263335512,Bajo
P1356,"KHAITAN AVAANTE KA-2013 1200 Watt 3-Rod Halogen Heater (1200 Watts, Grey)",Home&Kitchen,Medio,2199.0,3999.0,45.0,3.5,340.0,0,0.6523764457885606,Medio
P1030,Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop (Black),Home&Kitchen,Medio,1699.0,3193.0,47.0,3.8,54032.0,0,0.7958195495672794,Medio
P0240,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, White)",Computers&Accessories,Medio,179.0,399.0,55.0,4.0,1423.0,1,0.8072487239146297,Medio
